"","country","continent","year","lifeExp","pop","gdpPercap"
"1","Afghanistan","Asia",1992,41.674,16317921,649.3413952
"2","Afghanistan","Asia",1997,41.763,22227415,635.341351
"3","Albania","Europe",1992,71.581,3326498,2497.437901
"4","Albania","Europe",1997,72.95,3428038,3193.054604
"5","Algeria","Africa",1992,67.744,26298373,5023.216647
"6","Algeria","Africa",1997,69.152,29072015,4797.295051
"7","Angola","Africa",1992,40.647,8735988,2627.845685
"8","Angola","Africa",1997,40.963,9875024,2277.140884
"9","Argentina","Americas",1992,71.868,33958947,9308.41871
"10","Argentina","Americas",1997,73.275,36203463,10967.28195
"11","Australia","Oceania",1992,77.56,17481977,23424.76683
"12","Australia","Oceania",1997,78.83,18565243,26997.93657
"13","Austria","Europe",1992,76.04,7914969,27042.01868
"14","Austria","Europe",1997,77.51,8069876,29095.92066
"15","Bahrain","Asia",1992,72.601,529491,19035.57917
"16","Bahrain","Asia",1997,73.925,598561,20292.01679
"17","Bangladesh","Asia",1992,56.018,113704579,837.8101643
"18","Bangladesh","Asia",1997,59.412,123315288,972.7700352
"19","Belgium","Europe",1992,76.46,10045622,25575.57069
"20","Belgium","Europe",1997,77.53,10199787,27561.19663
"21","Benin","Africa",1992,53.919,4981671,1191.207681
"22","Benin","Africa",1997,54.777,6066080,1232.975292
"23","Bolivia","Americas",1992,59.957,6893451,2961.699694
"24","Bolivia","Americas",1997,62.05,7693188,3326.143191
"25","Bosnia and Herzegovina","Europe",1992,72.178,4256013,2546.781445
"26","Bosnia and Herzegovina","Europe",1997,73.244,3607000,4766.355904
"27","Botswana","Africa",1992,62.745,1342614,7954.111645
"28","Botswana","Africa",1997,52.556,1536536,8647.142313
"29","Brazil","Americas",1992,67.057,155975974,6950.283021
"30","Brazil","Americas",1997,69.388,168546719,7957.980824
"31","Bulgaria","Europe",1992,71.19,8658506,6302.623438
"32","Bulgaria","Europe",1997,70.32,8066057,5970.38876
"33","Burkina Faso","Africa",1992,50.26,8878303,931.7527731
"34","Burkina Faso","Africa",1997,50.324,10352843,946.2949618
"35","Burundi","Africa",1992,44.736,5809236,631.6998778
"36","Burundi","Africa",1997,45.326,6121610,463.1151478
"37","Cambodia","Asia",1992,55.803,10150094,682.3031755
"38","Cambodia","Asia",1997,56.534,11782962,734.28517
"39","Cameroon","Africa",1992,54.314,12467171,1793.163278
"40","Cameroon","Africa",1997,52.199,14195809,1694.337469
"41","Canada","Americas",1992,77.95,28523502,26342.88426
"42","Canada","Americas",1997,78.61,30305843,28954.92589
"43","Central African Republic","Africa",1992,49.396,3265124,747.9055252
"44","Central African Republic","Africa",1997,46.066,3696513,740.5063317
"45","Chad","Africa",1992,51.724,6429417,1058.0643
"46","Chad","Africa",1997,51.573,7562011,1004.961353
"47","Chile","Americas",1992,74.126,13572994,7596.125964
"48","Chile","Americas",1997,75.816,14599929,10118.05318
"49","China","Asia",1992,68.69,1164970000,1655.784158
"50","China","Asia",1997,70.426,1230075000,2289.234136
"51","Colombia","Americas",1992,68.421,34202721,5444.648617
"52","Colombia","Americas",1997,70.313,37657830,6117.361746
"53","Comoros","Africa",1992,57.939,454429,1246.90737
"54","Comoros","Africa",1997,60.66,527982,1173.618235
"55","Congo, Dem. Rep.","Africa",1992,45.548,41672143,457.7191807
"56","Congo, Dem. Rep.","Africa",1997,42.587,47798986,312.188423
"57","Congo, Rep.","Africa",1992,56.433,2409073,4016.239529
"58","Congo, Rep.","Africa",1997,52.962,2800947,3484.164376
"59","Costa Rica","Americas",1992,75.713,3173216,6160.416317
"60","Costa Rica","Americas",1997,77.26,3518107,6677.045314
"61","Cote d'Ivoire","Africa",1992,52.044,12772596,1648.073791
"62","Cote d'Ivoire","Africa",1997,47.991,14625967,1786.265407
"63","Croatia","Europe",1992,72.527,4494013,8447.794873
"64","Croatia","Europe",1997,73.68,4444595,9875.604515
"65","Cuba","Americas",1992,74.414,10723260,5592.843963
"66","Cuba","Americas",1997,76.151,10983007,5431.990415
"67","Czech Republic","Europe",1992,72.4,10315702,14297.02122
"68","Czech Republic","Europe",1997,74.01,10300707,16048.51424
"69","Denmark","Europe",1992,75.33,5171393,26406.73985
"70","Denmark","Europe",1997,76.11,5283663,29804.34567
"71","Djibouti","Africa",1992,51.604,384156,2377.156192
"72","Djibouti","Africa",1997,53.157,417908,1895.016984
